COUPLE ID,PARTICIPANT ID,TEXT,,,,
310,322,You seem really surprised. ,,,,
310,321,"Oh yeah. I'm good. So, uh, career choices. Actually, I-I felt-- I realized a career choice with a regis-- um, I mean, eventually, you just end up in Hong Kong so and I will be like almost--",,,,
310,322,"No, I don't think so. Maybe--",,,,
310,321,"I mean, you want your Ivy league. And there's no chance to get in an Ivy league job in America.",,,,
310,322,"No, I'm not necessarily Ivy league since today I have attended a accurate solution at citizen treaty. I think the--",,,,
310,321,We should turn the lights off.,,,,
310,322,Oh.,,,,
310,322," And the, the-- I think the trading is a really interesting job for me.",,,,
310,321," Yeah, I know.",,,,
310,322, Yeah.,,,,
310,321," Uh, I-I might do training here. I don't know.",,,,
310,322, And actively go to that so forth. Mm-hmm.,,,,
310,321," But I-I felt sales and trading are interesting but I don't know what are the chances. Whenever I finish the application, it's unlikely we'll need to like find more. Um, uh I don't know. I mean you or-or your commitment so much in-in your previous applications unlikely would change. Um, uh, all I say I-- sometimes I feel like you don't know really know what you want in your career. Me either. So um--",,,,
310,322," Yeah, I'm just-- I try still, trying some stuff for a time, for us there will be other chance for you ",,,,
310,321, I mean it's a chance--,,,,
310,322, Yeah.,,,,
310,321, So.,,,,
310,322, And we'll definitely be me and you--,,,,
310,321," And-and you always commenting in our relationship so far and um, you're saying it's just a chance and you're not really-- I feel like you're not really making any efforts. I mean, you're-- sometimes I feel like you're just a child and trying ""Oh this is fun, this is interesting, really. Just do that and --"" It makes me feel like you're never like really seriously consider anything maturely. And you don't really include me in your con-consideration at all. I only cons-- at first consider, ""Okay. If you really go to Hong Kong, maybe someday I will quit my job and join you."" But that's what's my consideration for you. But on your side, you never like really consider--",,,,
310,322," Okay. But I think have, uh, doing my job, I mean job searching in America. Since all the--",,,,
310,321," I mean, some of the-- you are always like consider what's best for you. What's best for yourself but when we are already in a relationship, you never wanna consider me. I considered you but you barely consider me. So that's why I don't even want to try Hong Kong because there's no point 'cause they're not for real. I don't wanna make the efforts 'cause you're not. You are like sometimes being so controlling thinking that I should be the one who would contribute to our relationship then you should do it but actually it's not.",,,,
310,322," Yeah, so I'm, uh, really trying also on the job in the United States. I think since most of the information etcetera I have attended, uh, part of it at the US. So I-I'm-I'm actually, uh, working equally waiting out there where as in the Hong Kong ones. But just the many calls I have gotten career strong in Hong Kong. So now, you prepare more for focus interns, um, but in general, I will cause a better ",,,,
310,321, I don't know but and that thing is-- I don't think you are happy with that.,,,,
310,322, Mm-hmm.,,,,
310,321," And I hate it's like that. It's never listen to you. Like sometimes, I have to be so aggressively demonstrating my point at you would ever listen to me. But you would just ignore everything that I say-- that I saying gently or nicely. You would just ignore it. And I feel-- I feel like you don't respect me at all. Sometimes I say a larger thing and you just forget about it and you don't even care.",,,,
310,322, There are moments you talk more about the career choice than--,,,,
310,321," I mean yeah, career choice. That's what I thought. I mean, you don't give a shit of what I suggest like, fill in the whole application before it's too late entirely. Maybe you should treasure it and because your character now should get better. But you might not be needing it anyway. You prefer-- I let you go, I hear others opinion or your mom. I-I don't see it. Now you realize training is good for you.",,,,
310,322, And it's not like I realize that--,,,,
310,321, But it's way too late.,,,,
310,322, But I have I applied for some-some of the sales in training and some of the ,,,,
310,321, I mean but it's trainings.,,,,
310,322, Then it's not true in that I have put almost equally waiting out to do that.,,,,
